"","gene_id","symbol","biotype","logFC.(KO./.WT)","lfcSE","pvalue","padj","WT_mean","KO_mean"
"1","HVO_RS08205","HVO_RS08205","protein_coding",-3.11965587896055,0.095244673737279,2.77031336323272e-237,1.0022993748176e-233,27979.6662857337,3183.67056176104
"2","HVO_RS10520","HVO_RS10520","protein_coding",-1.76586650988245,0.45379241375809,2.13751400929107e-07,9.66690710701888e-06,824.907078012498,194.058004753777
"3","HVO_RS11610","HVO_RS11610","protein_coding",-1.66425523658462,0.169319920005176,3.93726198012251e-25,8.90313365255202e-23,348.305520274332,106.436002594094
"4","HVO_RS11605","HVO_RS11605","protein_coding",-1.43733991025236,0.166031623710429,1.91577887284531e-20,2.34546429437157e-18,358.468822407934,127.205358663519
"5","HVO_RS11600","HVO_RS11600","protein_coding",-1.11592127298418,0.118696576557494,7.65860850673681e-23,1.38544227886869e-20,862.188257324159,387.133445680118
"6","HVO_RS10515","HVO_RS10515","protein_coding",-0.921572322857364,0.559584913378628,6.2535122659299e-05,0.00122963083576817,906.772223165329,313.648306439236
"7","HVO_RS18065","HVO_RS18065","protein_coding",1.0057306388013,0.0781079414553699,1.82404422532531e-39,9.4277028674671e-37,842.256096275593,1713.19807037969
"8","HVO_RS18060","HVO_RS18060","protein_coding",1.01160623989628,0.0690635383666997,3.9886320979841e-50,3.60771773262662e-47,616.252171246516,1255.25806473996
"9","HVO_RS03260","HVO_RS03260","protein_coding",1.03142548659745,0.076878395088182,1.20371488515667e-42,8.71008090899368e-40,944.573407600609,1955.2178295871
"10","HVO_RS03265","HVO_RS03265","protein_coding",1.08261048749448,0.119521283735999,2.35028586490929e-21,3.40133370369673e-19,727.24137483846,1585.7646203591
"11","HVO_RS01840","HVO_RS01840","protein_coding",1.08924208819235,0.0860829400439166,1.78854977515633e-38,8.08871635814449e-36,3417.68554993608,7384.16352744
"12","HVO_RS19410","HVO_RS19410","protein_coding",1.11560100724791,0.0863219811241921,4.64043937698192e-40,2.7981849443201e-37,481.470982238729,1059.52112475634
"13","HVO_RS19930","HVO_RS19930","protein_coding",1.57631648096465,0.175881218153104,1.24947543505503e-21,1.96547918436048e-19,7787.71900183346,24210.7738339024
"14","HVO_RS20495","HVO_RS20495","protein_coding",1.6322666593193,0.184678088394714,4.16177579000569e-21,5.57677955860762e-19,8590.78874560422,27825.6504914424
"15","HVO_RS02455","HVO_RS02455","protein_coding",1.72379220718994,0.0905865372208963,6.03658807028161e-83,1.09201878191394e-79,145864.490592236,486632.793037714
"16","HVO_RS03480","HVO_RS03480","protein_coding",2.20707398031076,0.241709498690199,1.64361763683978e-21,2.47775358753596e-19,730.955441258876,3596.40025700896
