gene_id,pyrE-1,pyrE-2,pyrE-3,pyrE-4,rosR-1,rosR-2,rosR-3,rosR-4
HVO_RS08700,1048.95412658475,975.315020239016,1098.65388433519,1268.33352380628,1096.25223314852,950.516547016606,929.316036593947,988.221262820933
HVO_RS08705,3617.01114166971,3550.80790419221,3668.66708940979,4171.3205022076,3206.39277505027,3250.12372936403,3118.70467764485,3363.57879363822
HVO_RS08710,16929.534529063,16676.2337697817,16643.2926339988,15722.2150940148,16398.541341574,16739.1933357214,16321.9872491672,16627.502715721
HVO_RS08715,3611.78726653732,3380.54104472676,4338.17450519598,4262.9004849048,4858.31148404868,3412.675834506,4198.90966211588,4502.52646466464
HVO_RS08720,10201.1833585393,10504.4733832353,11042.0067542527,10824.1631162101,10123.8023689811,10545.6826177697,10348.3837365236,10952.0301420889
HVO_RS08725,7238.20138344534,7318.99534255635,7324.6836026492,7076.27694260242,5755.03421021143,7485.66219780904,7140.74451344123,7908.03666509687
HVO_RS08730,742.835043826448,672.802056334372,701.620416834073,837.021347232404,756.35603810882,637.351191912584,785.421940605207,862.42704243891
HVO_RS08735,49650.8435833535,47224.2573570815,47284.9343611435,49028.7715968872,42466.1433850453,46785.6183296754,43045.3192562983,47081.0368608175
HVO_RS08740,38722.4968063849,38200.9403435651,37924.4811163072,37789.0520000512,35039.4695261916,38771.8913835238,36055.4636907342,38134.9145572527
HVO_RS08745,12141.3305827105,11622.7795038992,12888.0177538841,12283.5344533847,12097.0563886484,12014.1618048998,11661.4173624208,12410.5631297615
HVO_RS08750,29335.1931934726,29479.3097558006,30732.1420028251,30748.2253733315,32106.8497956101,29685.5042181302,29537.2609953554,31183.3672795651
HVO_RS08755,8626.7073936357,9382.86110996043,9219.35066447436,9234.80728746527,9369.76644141861,9191.08174158666,9010.36849673937,8842.99370847677
HVO_RS08760,4356.71186041672,4359.16221757676,4211.66874349219,4268.80887088526,4171.55876233024,4829.72610701481,4655.57356396903,4613.58802860552
HVO_RS08765,2141.7888042816,1953.10965493627,2008.52224735857,1962.5688765108,1835.20744215974,1961.64574340818,1951.56367684729,1817.78314858346
HVO_RS21395,699.999267740816,747.190490081416,805.744389928728,783.845873408228,733.154932645359,848.577091249608,771.432236828524,838.628135880149
HVO_RS08770,35726.0820304436,37555.4140462713,34906.83213905,31989.9711602257,36143.8421462523,38304.4392845562,37541.370084729,36050.8103114641
HVO_RS08775,1699.84896808106,2210.98955859268,1803.19366490088,3632.67264698863,1709.92147265706,2435.52645670342,2373.25331925874,2055.77221417107
HVO_RS08780,15.6716253971825,14.0511485966638,11.6774549265033,12.8015029576721,15.0807185512495,12.8572286552971,21.983820220502,11.332812647029
HVO_RS08785,5243.72585789725,5232.81304502815,5228.58044334185,4896.08251581119,4829.31010221935,4772.78695154136,4887.40294083978,4525.1920899587
HVO_RS08790,11448.644740155,11316.9603873836,11305.7226113429,10693.1938936431,11047.2063664268,11038.8491740479,10888.9858610368,9322.37168344609
HVO_RS08795,664.476916840536,716.608578429853,794.066935002225,796.6473763659,772.596811933242,614.391855028125,711.476363499882,735.499540792185
HVO_RS08800,1954.77407454189,1902.69082761883,1829.46793848552,1893.63770673872,2349.1119281754,1963.48249035894,2117.44159305653,2070.50487061221
