gene_id,symbol,biotype,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HVO_RS07030,HVO_RS07030,protein_coding,0.0531582767972067,0.046368274306981,0.20028737541981,0.407440193002271,62083.0977904742,64969.5263816185
HVO_RS18315,HVO_RS18315,protein_coding,0.0557075810814959,0.0493063332836988,0.20034165377309,0.407440193002271,24289.571280008,25508.831244987
HVO_RS18425,HVO_RS18425,protein_coding,-0.0713470450825444,0.0804500087416274,0.200556498337345,0.407552046243897,220.81405432363,199.829462574864
HVO_RS04025,HVO_RS04025,protein_coding,0.0645553520685805,0.109319676581369,0.200597205416568,,46.8165850528511,56.5494274265969
HVO_RS03540,HVO_RS03540,protein_coding,-0.06228428576691,0.0580166182329037,0.200621944267657,0.407552046243897,12513.2767414878,11779.3548117275
HVO_RS09030,HVO_RS09030,protein_coding,-0.0715105246855147,0.0837059544089996,0.200947815555221,0.407956380862002,171.675847720564,154.355078007552
HVO_RS02380,HVO_RS02380,protein_coding,0.0570496207793481,0.123783659170738,0.201054561311484,,25.2730158763417,32.7612993016145
HVO_RS18080,HVO_RS18080,pseudogene,0.0637630778075887,0.0604105738549927,0.201070182734922,0.407956380862002,699.742229778377,746.27393618542
HVO_RS11615,HVO_RS11615,protein_coding,-0.0706776484245159,0.0769198766189353,0.201159254687068,0.407956380862002,305.975901516536,279.108083485743
HVO_RS04605,HVO_RS04605,protein_coding,0.061815511336116,0.0574788216913333,0.201385808933871,0.408187034578569,722.172664115894,766.877222220437
HVO_RS02950,HVO_RS02950,pseudogene,0.0689180926952635,0.0983817757541561,0.201990922325645,0.409184298417796,103.034619225684,118.698316497455
HVO_RS10065,HVO_RS10065,protein_coding,0.063497723046909,0.0602695137899167,0.202328190236638,0.409245191782998,4829.90447004188,5146.09905189127
HVO_RS13675,HVO_RS13675,protein_coding,-0.0435662502705901,0.0367132817100329,0.202409278752833,0.409245191782998,15278.3713460993,14761.2064213912
HVO_RS16420,HVO_RS16420,protein_coding,-0.0519781912447865,0.0453391359924249,0.202440466016546,0.409245191782998,9168.91296231851,8772.55550271426
HVO_RS14075,HVO_RS14075,protein_coding,-0.0653143299891263,0.0634200371473698,0.202473436509554,0.409245191782998,1586.05896609893,1482.62813698023
HVO_RS05690,HVO_RS05690,protein_coding,-0.051810882368223,0.0452374367018881,0.203090876116929,0.410263980899525,13138.9634306818,12573.8709544297
HVO_RS10665,HVO_RS10665,protein_coding,-0.0596236698964668,0.0547377746981719,0.203254255178326,0.410364896894634,7234.56547386039,6844.5215636098
HVO_RS18355,HVO_RS18355,protein_coding,-0.0703969648209054,0.0773883676546453,0.203507934155743,0.410647911754309,469.125437993053,426.757230724703
HVO_RS21405,HVO_RS21405,protein_coding,0.0589420038278516,0.053945967245373,0.203973138522976,0.411357199094831,7540.63380521392,7963.86787132746
HVO_RS06835,HVO_RS06835,protein_coding,0.0621084042910375,0.058502631624488,0.204223935525303,0.41163353689724,1374.20620441034,1461.22354973135
